What book would you like to share? (title and the author)	Why that book?	Grade	Google Drive ID	Tags (for filtering, MUST BE separated by spaces)	
Julian is a Mermaid	This book is about a little kid who wants to be a mermaid and dress up, it’s shows kids they can express themselves however they want and it’s more than okay to be themselves. It’s not specifically about any identity or anything, just it’s okay to be you :) It has amazing art and is just a sweet book. 	10th	14IJwW6PR-gkClTQ7fjQONvOrF65acSsV	a	
George by Alex Gino (and its sequel, Rick, by the same author) 	I think kids should be exposed to more diverse literature at an earlier age, and this book is an LGBTQ+ book written by an LGBTQ+ author.	9th	1LbtC011GO72TaSuTekT3Q3OAevogCkJ8	a	
Year of the Rat and Year of the Dog	This was the first book that I read in elementary school that mirrored by life experience up until that point. I carried it around with me wherever I went because she narrated the story so beautifully and it was her true life experience- the ups, the downs, the real moments. The Year of the Dog is a children’s novel by Grace Lin which follows the journey of young Pacy as she attempts to figure out who she is over the course of the Chinese Year of the Dog. When the novel begins, Pacy and her family –Taiwanese/Chinese-Americans living in New Hartford, New York – celebrate the Chinese New Year, which will serve to be the Year of the Dog. Such a year is meant to be full of good luck, family, wealth, and friendships ... Pacy comes to realize that the Year of the Dog was fantastic after all, not just for friends, family, and wealth, but because Pacy now knows who she is and what she wants to do with her life.	12th	1rlFX6VL7GtmmHphCg_yw9AO1nTpnPW4Y	a	TRUE
I Promise - LeBron James	It shows diversity and promotes community. "This picture book by basketball superstar LeBron James proposes promises that children can take on, including to attend school and listen to their teachers, to ask questions, to persist, to try their best, to be helpful and respectful to others, promises James says were inspired by "the big dreams of kids in my hometown and around the world." Quoted from GoodReads	7th	1j_DJ2xPrTnAM-VG6Y3Kd9D3aFDoqU1K7	a	
My Rainbow by Trinity Neal	It's based on Neal's real life, so it really tells the story of a Black transgender girl who is autistic. I think it's really important to show younger students that there are books like these who represent these identities.	8th	1SuEB8XQXSZRM7Q8CVuSzL67hKTmqQ6EN	a	
Man up by Riley Campbell, London Jones and Shiri	It's about a boy who crys and all his friends tell him that he can't since he is a "man."	7th	1L-ELQUfOKbxdBr2rglt8VzRB_N2vazCW	a	
Aru Sha Series by Roshani Chokshi	The main character is Indian, and the entire book is about Hindu mythology.	7th	1RIpM8N3Jxn1q-29FWzPHwprQi9bORZB6	a	
My Princess Boy Book by Cheryl Kilodavis	This book is important because it shows how kids can represent themselves however they want.	7th	1rk-OagshMj5WbeeW0DTip9-hL-t2slZm	a	
Women in Science: 50 Fearless Pioneers Who Changed the World Book by Rachel Ignotofsky	I think this book is important because it shows how women can be scientists too!	7th	1rdQpKO1CiiRdg0FA0Y4IR7TlJ7C1omYD	a	
Insignificant Events in the Life of a Cactus Book by Dusti Bowling	It is about a girl with a disability who solves a seemlingly unsolvable mystery.	7th	1ZBFubFifgt1cr8lZlq8e9XMVHiU3650p	a	
She Persisted Series by Chelsea Clinton	I think this book is important because it shows how women can follow their dreams!	7th	1zfxOL9A-ef5h2X38lQ-vOScXfr_ZesKq	a	
The Gutsy Girl: Escapades for Your Life of Epic Adventure Book by Caroline Paul	I think this book is important because it can show that women are strong, and powerful!!!	7th	1TtuMUMmR_kjf8uZ-TgdYXnOwBuP-JIO5	a	
She Who Became The Sun by Shelly parker-chan	She Who Became The Sun is a genderqueer retelling of the origin story of one of China’s most iconic historical figures: Zhu Yuanzhang, founding emperor of the Ming Dynasty.	7th	1u578s1x2jksfoo2j1ByNyJGtKnLdAdbz	a	
When Aiden Became a Brother 	It can show younger kids and older kids to, the importance to respect people who aren't straight, and the importance of the topic.	7th	10KJmvKbZWA_J-ZLA7fP7l-wD1qL_weMv	a	
Ghost Boys by Jewell Parker Rhodes	This tells the story of a young black boy killed because of racism, and the injustice of our judicial system.	7th	1jkI7VRAmsbvp2FKYFw8temR88LGeNW2m/	a	
